,id,name
144,"['671037600', '628257622', '627620759', '618352280', '617816420', '583815092', '569089846', '546356771', '542907894', '533141936']",딘타이펑 명동중앙점
145,"['651602786', '588644326', '586922763', '579763474', '556607375', '552438266', '541419454', '482804203', '447356185', '447050958']","코너스톤, 파크 하얏트 서울"
146,"['623349409', '557200162', '479399359', '449061978', '423336442', '406380884', '393507552', '359661097', '347021619', '341396835']",Brasserie
147,"['672123996', '665945253', '650865014', '640022305', '639005042', '635237780', '573370082', '561830739', '549450456', '543715873']",왱이콩나물국밥
148,"['626645748', '544335864', '533025418', '500100468', '428702925', '408664587', '403099441', '376016054', '351795951', '343968294']",원당감자탕 명동1호점
149,"['662139576', '543926638', '541124328', '516194596', '414388964', '344392120', '336154556', '315231135', '315038255', '310041988']",케르반레스토랑 이태원점
150,"['669769053', '580521444', '576173345', '546303028', '544320559', '543739434', '543136907', '541936573', '500098572', '336207543']",본죽 명동점
151,"['622642175', '621631413', '619575411', '618380015', '606888091', '581583664', '575843865', '556982993', '555992677', '555426066']",새벽집 청담점
152,"['671732006', '670406261', '653875852', '648502223', '646273829', '612875873', '582533509', '543289655', '499692241', '478558087']",하동관
153,"['670582247', '655830778', '647317875', '632985436', '621640335', '607515250', '601643267', '578907271', '574092180', '573224780']",한국집
154,"['662225327', '646716138', '641182517', '626719732', '580939203', '568337920', '556241742', '554523528', '549451003', '547463607']",길거리야
155,"['672916233', '666628208', '657929498', '655831355', '642321775', '641252145', '638441001', '633757946', '632988493', '632467012']",베테랑
156,"['671462975', '671147236', '642484059', '641283328', '632993887', '630266281', '620468294', '619669203', '598712457', '596334443']",남문피순대
157,"['671306200', '606386136', '600352586', '590204356', '589924796', '571033042', '548319418', '546446132', '543917691', '541363314']",글램 라운지
158,"['553035956', '541044490', '519743532', '503087134', '480759316', '356007898', '270703700', '163579631', '164359887', '165277276']",필경재
159,"['645468041', '641184334', '604952859', '583203462', '579102576', '574911309', '574278054', '564234675', '558429966', '556591618']",파라디소 페르두또 이탈리안 카페 & 키친
160,"['331346608', '321484341', '165278198', '165278200', '165278202', '165278204', '165278207', '484629368', '300478855']",명동 영양 죽
161,"['635875937', '598168309', '543068150', '453487346', '373939413', '365630757', '334336057', '329512692', '329495528', '329437407']",루블랑
162,"['660243783', '591613377', '553311308', '543918745', '385111118', '369755538', '329912206', '324279081', '315251127', '311999480']",코리아노스 키친
163,"['650472167', '644153467', '643513232', '635104357', '634563103', '627370767', '579102089', '574634829', '574488919', '565756083']",한일옥
164,"['665396429', '665396343', '664916105', '663667598', '663634438', '663628688', '663625742', '663589108', '663344224', '663338400']",택대리네 인사동마늘보쌈
165,"['601094924', '591033425', '574490807', '425208150', '391256756', '356237220', '351172017', '350945126', '349533043', '329855610']",오브라이언즈 아이리쉬 펍 & 레스토랑
166,"['509228109', '508979914', '407072670', '403886852', '375363590', '321451646', '624287479', '603454430', '583288004', '582508336']",Bistro Zum Spatz
167,"['663357961', '654868247', '641501013', '563793962', '558802955', '544909187', '516613651', '490218891', '489309389', '460255530']",한옥집 김치찜 서대문본점
168,"['643982043', '636228731', '591033635', '540021194', '528164990', '484524879', '430787486', '388639199', '376356656', '376309002']",봄베이인도요리전문점
169,"['671460930', '647315978', '641181962', '637911017', '603550066', '602818331', '542737704', '529290245', '520085741', '481427664']",가족회관
170,"['556221888', '504102691', '488142609', '463663950', '460797674', '458591596', '457247381', '453710724', '451583375', '445780856']",웨이투인디아
171,"['543919003', '538472157', '468203391', '452922171', '359619172', '350743728', '347030613', '346174721', '338032742', '330766002']",트레비아 녹사평점
172,"['640853130', '614611951', '564253024', '523039435', '476340857', '463467329', '406357555', '398288849', '377546449', '366198139']",콩두
173,"['671741184', '671149581', '670582794', '665943873', '664106955', '650607952', '648851869', '648232095', '646716293', '640022024']",삼백집
174,"['564999989', '556046303', '542592330', '541114943', '541104548', '485491723', '474910874', '430864255', '389301249', '357804435']",모티마할
175,"['521810827', '351207694', '326895388', '164361146', '164361148', '164361149', '164361153', '164361155', '668475310', '612487109']",라나 레스토랑
176,"['639217030', '637524695', '565038886', '515899378', '342264987', '335855729', '317018796', '635142499', '633952428', '633938136']",브라이 리퍼블릭 평택
177,"['668780192', '591363636', '546362133', '545642668', '543299397', '476049461', '335338140', '665659250', '603005003', '543738731']",부산갈비
178,"['662225327', '646716138', '641182517', '626719732', '580939203', '568337920', '556241742', '554523528', '549451003', '547463607']",길거리야
179,"['661268079', '653876288', '641395531', '592721973', '546723359', '545278547', '542233657', '499555713', '482661948', '471523967']",토다이 명동점
180,"['657699936', '654229752', '651702900', '637539691', '623799506', '544915534', '542594210', '541050554', '540165367', '539964312']",아웃백스테이크하우스 창원 중앙점
181,"['670582247', '655830778', '647317875', '632985436', '621640335', '607515250', '601643267', '578907271', '574092180', '573224780']",한국집
182,"['671742218', '665946881', '651937568', '642539543', '640021836', '626464142', '620828824', '603544500', '602817989', '555784959']",현대옥 남부시장점
183,"['672123996', '665945253', '650865014', '640022305', '639005042', '635237780', '573370082', '561830739', '549450456', '543715873']",왱이콩나물국밥
184,"['640992903', '633874604', '587577034', '541115575', '456541120', '377248311', '365108609', '328920071', '304276179', '631719187']",인사동그집
185,"['640852670', '500102481', '432028256', '411197968', '333954522', '329917159', '322213525', '165277982', '132785336', '165277983']",백제삼계탕
186,"['671462975', '671147236', '642484059', '641283328', '632993887', '630266281', '620468294', '619669203', '598712457', '596334443']",남문피순대
187,"['456065048', '431656817', '329824549', '328980006', '317887330', '308376419', '670947451', '668034497', '664137829', '631174700']",프로 간장 게장 삼성점
188,"['664645190', '646989232', '638442262', '616844823', '594222881', '580357489', '550567752', '548521573', '539955583', '512451890']",오모리 찌개 잠실 본점
189,"['592683986', '330936180', '324586225', '321484004', '315008168', '305306253', '258328251', '165278225', '165278228', '165278230']",명동 순두부
190,"['672916233', '666628208', '657929498', '655831355', '642321775', '641252145', '638441001', '633757946', '632988493', '632467012']",베테랑
191,"['619590670', '547776289', '373032463', '323381405', '164360385', '164360387', '164360391', '164360393', '164360395', '672461851']",사프란 레스토랑
192,"['672709023', '663644724', '658362503', '653595168', '619751404', '563080754', '547753761', '526715562', '526019306', '504164782']",무궁화
193,"['658558128', '565719135', '364975274', '340634868', '334745645', '329723349', '329393365', '323444098', '323395248', '322825206']",제임스 치즈 등갈비 홍대 본점
194,"['658783350', '648630806', '641741347', '624382665', '622538499', '595109508', '587532048', '443414586', '430458642', '382338475']",마츠
195,"['671460930', '647315978', '641181962', '637911017', '603550066', '602818331', '542737704', '529290245', '520085741', '481427664']",가족회관
196,"['656709465', '633512811', '628837397', '616496796', '600565935', '554834932', '542118293', '534482724', '531864463', '508249904']",데블스도어
197,"['674913029', '670666211', '660259596', '658336563', '657929737', '657557915', '653815258', '650874427', '650857020', '650330499']",테라로사 커피공장
198,"['674101398', '661335413', '643209731', '633287661', '582335129', '576161829', '573240456', '550776547', '549681260', '549224164']",한우타운
199,"['674912746', '661249330', '651938932', '651495669', '651047660', '650857387', '649761687', '646232889', '630966447', '629739069']",동화가든
200,"['675149050', '654767575', '654046606', '652019809', '645423228', '645290771', '642834485', '633931995', '626016080', '598321453']",와우대관령한우 진부점
201,"['657988742', '649761470', '631837038', '627628396', '623372608', '609674019', '605828817', '604145766', '603758574', '603625864']",- 버드나무 브루어리
202,"['648433481', '639002208', '631447399', '603593632', '594941230', '587105365', '581546353', '542190973', '541981806', '483809536']",가나안덕 일산본점
203,"['673701646', '580929489', '543602921', '542745488', '471877162', '456544176', '442300538', '436257423', '409830808', '386297817']",생어거스틴 경복궁점
204,"['652878950', '648170420', '641515562', '641372330', '588594286', '582097277', '543553009', '518627106', '500635921', '449244556']",나마스까르 삼산점
205,"['662225327', '646716138', '641182517', '626719732', '580939203', '568337920', '556241742', '554523528', '549451003', '547463607']",길거리야
206,"['655093620', '654624024', '651365070', '651127557', '646153726', '639059266', '639020534', '631121557', '620723630', '590136923']",크라이치즈 버거
207,"['672123996', '665945253', '650865014', '640022305', '639005042', '635237780', '573370082', '561830739', '549450456', '543715873']",왱이콩나물국밥
208,"['671742218', '665946881', '651937568', '642539543', '640021836', '626464142', '620828824', '603544500', '602817989', '555784959']",현대옥 남부시장점
209,"['670582247', '655830778', '647317875', '632985436', '621640335', '607515250', '601643267', '578907271', '574092180', '573224780']",한국집
210,"['672916233', '666628208', '657929498', '655831355', '642321775', '641252145', '638441001', '633757946', '632988493', '632467012']",베테랑
211,"['672655420', '672328128', '671255320', '667295624', '657913481', '651360353', '646167103', '642759984', '640525579', '633511464']",서울24시감자탕 서현점
212,"['638179025', '637408941', '637408225', '637119303', '636834836', '636833977', '636832657', '636831314', '636822729', '636796489']",나니아
213,"['662377403', '654218128', '644280808', '620898641', '608180912', '605582457', '596945712', '586806868', '570675291', '569836735']",소울 키친
214,"['671741184', '671149581', '670582794', '665943873', '664106955', '650607952', '648851869', '648232095', '646716293', '640022024']",삼백집
215,"['670594782', '667082321', '634584367', '634309265', '634069593', '633575672', '633542649', '613303959', '612457545', '612456920']",광원
216,"['666260729', '665958171', '657913571', '654858246', '644643041', '641064886', '636322374', '635570851', '634324903', '632946132']",우진해장국
217,"['636971765', '635701456', '592633567', '590415146', '584674659', '576249734', '561425911', '559315699', '556447785', '506642661']",마초 그릴
218,"['664630276', '663086778', '663083796', '659545035', '659403883', '659403629', '658198272', '657087407', '656247299', '654491945']",인디언키친
219,"['657141706', '654982792', '653793625', '639001599', '638319759', '633709186', '631817012', '631127671', '627648947', '626295873']",올래국수
220,"['674498621', '663005859', '659543982', '652694645', '646895613', '635586095', '622142602', '618619312', '618111004', '606187569']",더 파크뷰
